,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,USA,Europe,Japan
26,8,307.0,200.0,4376.0,15.0,70,1.0,0.0,0.0
86,4,156.0,92.0,2625.0,14.4,72,1.0,0.0,0.0
2,8,318.0,150.0,3436.0,11.0,70,1.0,0.0,0.0
55,4,97.0,60.0,1834.0,19.0,71,0.0,1.0,0.0
75,6,250.0,88.0,3021.0,16.5,72,1.0,0.0,0.0
16,6,199.0,97.0,2774.0,15.5,70,1.0,0.0,0.0
73,4,121.0,115.0,2671.0,13.5,72,0.0,1.0,0.0
54,4,72.0,69.0,1613.0,18.0,71,0.0,0.0,1.0
95,4,90.0,70.0,1937.0,14.2,72,0.0,1.0,0.0
53,4,71.0,65.0,1773.0,19.0,71,0.0,0.0,1.0
78,4,120.0,97.0,2489.0,15.0,72,0.0,0.0,1.0
13,8,455.0,225.0,3086.0,10.0,70,1.0,0.0,0.0
7,8,440.0,215.0,4312.0,8.5,70,1.0,0.0,0.0
30,4,140.0,90.0,2264.0,15.5,71,1.0,0.0,0.0
22,4,104.0,95.0,2375.0,17.5,70,0.0,1.0,0.0
24,6,199.0,90.0,2648.0,15.0,70,1.0,0.0,0.0
33,6,232.0,100.0,2634.0,13.0,71,1.0,0.0,0.0
8,8,455.0,225.0,4425.0,10.0,70,1.0,0.0,0.0
43,8,400.0,170.0,4746.0,12.0,71,1.0,0.0,0.0
62,4,108.0,94.0,2379.0,16.5,72,0.0,0.0,1.0
3,8,304.0,150.0,3433.0,12.0,70,1.0,0.0,0.0
71,4,120.0,97.0,2500.0,14.9,72,0.0,0.0,1.0
45,6,258.0,110.0,2962.0,13.5,71,1.0,0.0,0.0
48,6,250.0,88.0,3139.0,14.5,71,1.0,0.0,0.0
6,8,454.0,220.0,4354.0,9.0,70,1.0,0.0,0.0
99,4,119.0,82.0,2720.0,19.4,72,1.0,0.0,0.0
76,6,232.0,100.0,2901.0,16.0,72,1.0,0.0,0.0
60,4,140.0,90.0,2408.0,19.5,72,1.0,0.0,0.0
80,4,140.0,86.0,2790.0,15.6,72,1.0,0.0,0.0
90,6,225.0,95.0,3410.0,16.6,72,1.0,0.0,0.0
68,4,119.0,97.0,2545.0,15.0,72,0.0,0.0,1.0
51,4,79.0,70.0,2074.0,19.5,71,0.0,1.0,0.0
27,8,318.0,210.0,4382.0,13.5,70,1.0,0.0,0.0
18,4,97.0,88.0,2130.0,14.5,70,0.0,0.0,1.0
56,4,91.0,70.0,1955.0,20.5,71,1.0,0.0,0.0
63,6,225.0,105.0,3613.0,16.0,72,1.0,0.0,0.0
74,6,250.0,100.0,3781.0,17.0,72,1.0,0.0,0.0
1,8,350.0,165.0,3693.0,11.5,70,1.0,0.0,0.0
61,8,400.0,190.0,4325.0,12.2,72,1.0,0.0,0.0
42,8,383.0,180.0,4955.0,11.5,71,1.0,0.0,0.0
41,8,318.0,150.0,4096.0,13.0,71,1.0,0.0,0.0
4,8,302.0,140.0,3449.0,10.5,70,1.0,0.0,0.0
17,6,200.0,85.0,2587.0,16.0,70,1.0,0.0,0.0
40,8,351.0,153.0,4154.0,13.5,71,1.0,0.0,0.0
38,8,350.0,165.0,4209.0,12.0,71,1.0,0.0,0.0
5,8,429.0,198.0,4341.0,10.0,70,1.0,0.0,0.0
91,4,98.0,83.0,2219.0,16.5,72,0.0,1.0,0.0
59,4,97.0,54.0,2254.0,23.5,72,0.0,1.0,0.0
0,8,307.0,130.0,3504.0,12.0,70,1.0,0.0,0.0
34,6,225.0,105.0,3439.0,15.5,71,1.0,0.0,0.0
28,8,304.0,193.0,4732.0,18.5,70,1.0,0.0,0.0
50,4,116.0,90.0,2123.0,14.0,71,0.0,1.0,0.0
11,8,340.0,160.0,3609.0,8.0,70,1.0,0.0,0.0
35,6,250.0,100.0,3329.0,15.5,71,1.0,0.0,0.0
23,4,121.0,113.0,2234.0,12.5,70,0.0,1.0,0.0
52,4,88.0,76.0,2065.0,14.5,71,0.0,1.0,0.0
10,8,383.0,170.0,3563.0,10.0,70,1.0,0.0,0.0
31,4,113.0,95.0,2228.0,14.0,71,0.0,0.0,1.0
66,4,98.0,79.0,2255.0,17.7,72,1.0,0.0,0.0
57,4,113.0,95.0,2278.0,15.5,72,0.0,0.0,1.0
79,4,97.0,71.0,1825.0,12.2,72,0.0,1.0,0.0
85,4,122.0,86.0,2395.0,16.0,72,1.0,0.0,0.0
84,4,96.0,69.0,2189.0,18.0,72,0.0,1.0,0.0
14,4,113.0,95.0,2372.0,15.0,70,0.0,0.0,1.0
89,4,107.0,90.0,2430.0,14.5,72,0.0,1.0,0.0
19,4,97.0,46.0,1835.0,20.5,70,0.0,1.0,0.0
29,4,97.0,88.0,2130.0,14.5,71,0.0,0.0,1.0
49,4,122.0,86.0,2220.0,14.0,71,1.0,0.0,0.0
97,4,135.0,84.0,2295.0,11.6,72,1.0,0.0,0.0
98,4,120.0,79.0,2625.0,18.6,72,1.0,0.0,0.0
69,4,105.0,75.0,2213.0,14.4,72,1.0,0.0,0.0
20,4,110.0,87.0,2672.0,17.5,70,0.0,1.0,0.0
94,4,140.0,92.0,2865.0,16.4,72,1.0,0.0,0.0
72,4,121.0,98.0,2945.0,14.5,72,0.0,1.0,0.0
77,4,115.0,95.0,2694.0,15.0,72,0.0,0.0,1.0
